Provider,__target__,inp_n_claims,inp_total_money,inp_mean_money,inp_median_money,inp_n_diag_codes,inp_n_proc_codes,inp_mean_claim_days,inp_median_claim_days,inp_sum_deductible,inp_mean_physicians_per_claim,inp_n_unique_bene,inp_n_unique_physicians,inp_mean_los,inp_median_los,inp_total_los,outp_n_claims,outp_total_money,outp_mean_money,outp_median_money,outp_n_diag_codes,outp_n_proc_codes,outp_mean_claim_days,outp_median_claim_days,outp_sum_deductible,outp_mean_physicians_per_claim,outp_n_unique_bene,outp_n_unique_physicians,bene_renaldiseaseindicator_mean,bene_chroniccond_alzheimer_mean,bene_chroniccond_heartfailure_mean,bene_chroniccond_kidneydisease_mean,bene_chroniccond_cancer_mean,bene_chroniccond_obstrpulmonary_mean,bene_chroniccond_depression_mean,bene_chroniccond_diabetes_mean,bene_chroniccond_ischemicheart_mean,bene_chroniccond_osteoporasis_mean,bene_chroniccond_rheumatoidarthritis_mean,bene_chroniccond_stroke_mean,bene_age_approx_mean,bene_age_approx_median
PRV51015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,700.0,87.5,65.0,25.0,0.0,0.375,0.0,0.0,1.375,7.0,3.0,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.48450180893713,67.4880219028063
PRV51016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,170.0,28.333333333333332,10.0,23.0,0.0,0.3333333333333333,0.0,0.0,1.0,6.0,3.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.21081451060917,73.52361396303901
PRV51017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,143770.0,279.1650485436893,80.0,1515.0,2.0,1.3572815533980582,0.0,1050.0,1.2970873786407766,420.0,113.0,0.1619047619047619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.01180535184642,72.5366187542779
PRV51021,1,29.0,299972.0,10343.862068965518,8068.0,276.0,22.0,4.793103448275862,4.0,30972.0,1.6206896551724137,23.0,7.0,4.758620689655173,4.0,138.0,228.0,80350.0,352.4122807017544,90.0,691.0,0.0,1.644736842105263,0.0,520.0,1.381578947368421,187.0,67.0,0.20673076923076922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73.01961248881167,74.45859000684462
PRV51023,0,9.0,62544.0,6949.333333333333,5068.0,81.0,5.0,3.5555555555555554,3.0,8544.0,1.5555555555555556,9.0,4.0,3.5555555555555554,3.0,32.0,27.0,11690.0,432.962962962963,80.0,95.0,0.0,3.7037037037037037,0.0,80.0,1.3333333333333333,27.0,10.0,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.08424757993546,70.01232032854209
PRV51024,0,9.0,70612.0,7845.777777777777,8068.0,73.0,7.0,4.333333333333333,4.0,9612.0,1.7777777777777777,9.0,1.0,4.333333333333333,4.0,39.0,30.0,3140.0,104.66666666666667,60.0,82.0,0.0,0.8333333333333334,0.0,90.0,1.2,29.0,12.0,0.2894736842105263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67.49522677329874,68.93908281998631
PRV51025,0,13.0,99884.0,7683.384615384615,5068.0,114.0,12.0,7.0,5.0,13884.0,1.6153846153846154,12.0,2.0,7.0,5.0,91.0,74.0,32750.0,442.56756756756755,100.0,235.0,0.0,1.3243243243243243,0.0,400.0,1.3243243243243243,66.0,34.0,0.21052631578947367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.99092186317951,73.49349760438056
PRV51026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,20180.0,265.5263157894737,80.0,194.0,0.0,1.0921052631578947,0.0,340.0,1.263157894736842,56.0,29.0,0.16071428571428573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68.7589224601545,70.40793976728268
PRV51027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,29840.0,563.0188679245283,60.0,139.0,0.0,2.1320754716981134,0.0,0.0,1.0377358490566038,44.0,10.0,0.2727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.46468794723415,72.50513347022587
PRV51029,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,30820.0,331.39784946236557,80.0,281.0,0.0,0.6989247311827957,0.0,160.0,1.3010752688172043,79.0,38.0,0.12658227848101267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.70097644235351,73.10882956878851
PRV51030,0,82.0,792108.0,9659.853658536585,7068.0,746.0,57.0,4.621951219512195,4.0,86508.0,1.0,71.0,1.0,4.621951219512195,4.0,379.0,89.0,34400.0,386.5168539325843,90.0,238.0,0.0,1.8876404494382022,0.0,240.0,1.3370786516853932,78.0,45.0,0.25517241379310346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.05997309353536,71.78918548939083
PRV51031,0,28.0,358904.0,12818.0,8568.0,263.0,25.0,5.535714285714286,3.5,29904.0,1.6785714285714286,26.0,2.0,5.535714285714286,3.5,155.0,157.0,31060.0,197.8343949044586,70.0,421.0,0.0,1.3694267515923566,0.0,340.0,1.3248407643312101,135.0,58.0,0.2229299363057325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.26729794181631,73.59616700889802
PRV51032,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5470.0,237.82608695652175,80.0,61.0,0.0,0.9130434782608695,0.0,50.0,1.2173913043478262,21.0,10.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.27789185489391,72.44626967830253
PRV51035,0,1.0,30068.0,30068.0,30068.0,10.0,1.0,14.0,14.0,1068.0,2.0,1.0,1.0,14.0,14.0,14.0,29.0,3920.0,135.17241379310346,70.0,69.0,0.0,1.8620689655172413,0.0,360.0,1.2758620689655173,24.0,17.0,0.24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.39364818617385,77.36344969199179
PRV51036,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,76290.0,274.42446043165467,70.0,771.0,0.0,1.0503597122302157,0.0,1410.0,1.079136690647482,131.0,5.0,0.13740458015267176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.41278325522099,71.1978097193703
PRV51037,1,23.0,238564.0,10372.347826086956,8068.0,208.0,13.0,4.521739130434782,3.0,24564.0,1.391304347826087,21.0,1.0,4.565217391304348,3.0,105.0,431.0,129190.0,299.74477958236656,80.0,1265.0,0.0,1.3735498839907192,0.0,960.0,1.1693735498839908,202.0,2.0,0.1650485436893204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.28902268030275,72.17522245037645
PRV51038,0,30.0,260572.0,8685.733333333334,8068.0,249.0,15.0,4.033333333333333,3.0,30972.0,1.5333333333333334,26.0,2.0,4.033333333333333,3.0,121.0,111.0,36110.0,325.31531531531533,90.0,268.0,0.0,1.1711711711711712,0.0,220.0,1.3153153153153154,83.0,43.0,0.205607476635514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.70046760956201,72.33949349760438
PRV51040,0,9.0,71544.0,7949.333333333333,6068.0,79.0,7.0,10.555555555555555,4.0,8544.0,1.2222222222222223,8.0,4.0,10.555555555555555,4.0,95.0,77.0,11710.0,152.07792207792207,60.0,244.0,0.0,0.6233766233766234,0.0,240.0,1.2207792207792207,62.0,13.0,0.14492753623188406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.79510757968039,72.97467488021903
PRV51041,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,7680.0,225.88235294117646,70.0,90.0,0.0,2.3529411764705883,0.0,270.0,1.1176470588235294,31.0,9.0,0.0967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.68448477622486,71.46885694729637
PRV51042,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,48360.0,340.5633802816901,90.0,390.0,0.0,1.232394366197183,0.0,310.0,1.471830985915493,128.0,52.0,0.171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.77523956194388,73.11156741957564
PRV51043,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4480.0,194.7826086956522,60.0,48.0,0.0,0.0,0.0,0.0,1.1304347826086956,20.0,6.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,72.43449691991786,72.60369609856264
PRV51044,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,21460.0,363.728813559322,100.0,154.0,0.0,2.152542372881356,0.0,130.0,1.0,39.0,1.0,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.63302269257095,70.46406570841889
PRV51045,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,8430.0,271.93548387096774,80.0,87.0,0.0,2.2580645161290325,0.0,40.0,1.2258064516129032,29.0,16.0,0.1724137931034483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.23000306828105,70.92402464065708
PRV51046,0,8.0,109544.0,13693.0,11068.0,72.0,5.0,4.5,3.0,8544.0,1.625,7.0,1.0,4.5,3.0,36.0,30.0,8470.0,282.3333333333333,100.0,73.0,0.0,0.8666666666666667,0.0,100.0,1.1,19.0,5.0,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.9082293476544,69.36071184120465
PRV51047,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2530.0,230.0,100.0,25.0,0.0,3.090909090909091,0.0,0.0,1.1818181818181819,11.0,10.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.23557961545642,71.66598220396989
PRV51048,0,4.0,23272.0,5818.0,5568.0,38.0,3.0,4.75,4.0,4272.0,1.75,4.0,4.0,4.75,4.0,19.0,34.0,8780.0,258.2352941176471,95.0,83.0,0.0,0.11764705882352941,0.0,80.0,1.088235294117647,30.0,11.0,0.09090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.943189596167,70.23682409308692
PRV51049,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,21910.0,308.59154929577466,80.0,200.0,0.0,1.7887323943661972,0.0,190.0,1.2535211267605635,65.0,35.0,0.2153846153846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.81119359764124,70.92402464065708
PRV51052,1,2.0,16136.0,8068.0,8068.0,19.0,1.0,9.0,9.0,2136.0,1.5,2.0,2.0,9.0,9.0,18.0,44.0,17010.0,386.59090909090907,80.0,146.0,0.0,1.9772727272727273,0.0,210.0,1.1136363636363635,36.0,16.0,0.1891891891891892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0695932071702,71.4715947980835
PRV51053,0,1.0,9068.0,9068.0,9068.0,10.0,1.0,5.0,5.0,1068.0,2.0,1.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,67.74264202600958,67.74264202600958
PRV51054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,15270.0,267.89473684210526,90.0,155.0,0.0,2.3508771929824563,0.0,140.0,1.1228070175438596,40.0,3.0,0.175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.21088295687885,71.09377138945928
PRV51055,0,2.0,18836.0,9418.0,9418.0,20.0,2.0,5.5,5.5,2136.0,2.0,2.0,1.0,5.5,5.5,11.0,20.0,5010.0,250.5,75.0,66.0,0.0,0.1,0.0,70.0,1.0,20.0,5.0,0.22727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68.42897143923838,70.65023956194388
PRV51056,0,2.0,10136.0,5068.0,5068.0,17.0,2.0,3.0,3.0,2136.0,1.0,2.0,1.0,3.0,3.0,6.0,20.0,6710.0,335.5,80.0,53.0,0.0,0.5,0.0,10.0,1.6,19.0,5.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,76.24966591701704,76.08761122518823
PRV51057,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6830.0,1366.0,1200.0,21.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,78.31143052703628,77.50171115674195
PRV51058,0,5.0,96340.0,19268.0,8068.0,47.0,5.0,7.4,7.0,5340.0,2.2,5.0,5.0,7.4,7.0,37.0,78.0,16230.0,208.07692307692307,70.0,248.0,0.0,0.9102564102564102,0.0,200.0,1.3333333333333333,71.0,29.0,0.14666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.8609993155373,74.63928815879535
PRV51059,1,25.0,427700.0,17108.0,11068.0,247.0,24.0,6.88,5.0,26700.0,1.72,23.0,12.0,6.88,5.0,172.0,71.0,20300.0,285.9154929577465,100.0,188.0,0.0,0.9295774647887324,0.0,240.0,1.4366197183098592,60.0,21.0,0.18292682926829268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73.1890953406454,73.83572895277207
PRV51060,0,5.0,40340.0,8068.0,6068.0,47.0,0.0,4.8,4.0,5340.0,1.0,5.0,5.0,4.8,4.0,24.0,37.0,8710.0,235.40540540540542,90.0,110.0,0.0,1.972972972972973,0.0,0.0,1.3513513513513513,37.0,24.0,0.19047619047619047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.13118868355008,73.06365503080082
PRV51061,0,1.0,4068.0,4068.0,4068.0,8.0,2.0,8.0,8.0,1068.0,2.0,1.0,1.0,8.0,8.0,8.0,144.0,52200.0,362.5,100.0,393.0,0.0,2.3541666666666665,0.0,260.0,1.0416666666666667,66.0,6.0,0.208955223880597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.04774893499646,76.08761122518823
PRV51062,0,3.0,48204.0,16068.0,17068.0,30.0,5.0,4.333333333333333,5.0,3204.0,1.6666666666666667,3.0,3.0,4.333333333333333,5.0,13.0,394.0,109120.0,276.9543147208122,80.0,1148.0,0.0,1.5761421319796953,0.0,740.0,1.3908629441624365,164.0,3.0,0.1927710843373494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.5367754385097,72.92676249144422
PRV51063,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,51270.0,344.09395973154363,80.0,416.0,0.0,1.610738255033557,0.0,160.0,1.1275167785234899,115.0,3.0,0.21739130434782608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68.90118144213315,70.53524982888433
PRV51064,1,36.0,318448.0,8845.777777777777,7068.0,318.0,26.0,5.305555555555555,4.0,38448.0,1.4444444444444444,34.0,28.0,5.305555555555555,4.0,191.0,267.0,80820.0,302.69662921348316,80.0,790.0,0.0,1.4981273408239701,0.0,500.0,1.299625468164794,198.0,97.0,0.19823788546255505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.4608876305228,72.97467488021903
PRV51065,0,10.0,84612.0,8461.2,8068.0,99.0,9.0,5.6,5.0,9612.0,2.0,10.0,3.0,5.6,5.0,56.0,18.0,1680.0,93.33333333333333,60.0,56.0,0.0,1.4444444444444444,0.0,110.0,1.1111111111111112,16.0,7.0,0.11538461538461539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.15653135365662,77.21560574948666
PRV51066,0,2.0,21136.0,10568.0,10568.0,17.0,2.0,2.0,2.0,2136.0,2.0,2.0,2.0,2.0,2.0,4.0,22.0,5890.0,267.72727272727275,80.0,70.0,0.0,1.0,0.0,100.0,1.0909090909090908,19.0,6.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68.28160750953359,69.30595482546201
PRV51067,1,12.0,338816.0,28234.666666666668,21568.0,119.0,13.0,6.583333333333333,4.0,12816.0,1.5,11.0,6.0,6.583333333333333,4.0,79.0,46.0,8800.0,191.30434782608697,60.0,127.0,0.0,1.1956521739130435,0.0,280.0,1.2173913043478262,39.0,19.0,0.22448979591836735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67.49355347888643,70.86105407255305
PRV51068,0,9.0,85544.0,9504.888888888889,8000.0,79.0,3.0,3.0,3.0,8544.0,1.2222222222222223,9.0,8.0,3.0,3.0,27.0,252.0,66700.0,264.6825396825397,80.0,749.0,0.0,1.3174603174603174,0.0,440.0,1.2817460317460319,206.0,74.0,0.1308411214953271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.69359099835602,69.60711841204655
PRV51070,0,10.0,111680.0,11168.0,11068.0,87.0,6.0,4.1,2.5,10680.0,1.6,10.0,10.0,4.1,2.5,41.0,89.0,24710.0,277.64044943820227,80.0,242.0,0.0,1.6629213483146068,0.0,300.0,1.449438202247191,61.0,36.0,0.17391304347826086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.44184547014652,72.06570841889118
PRV51071,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8600.0,358.3333333333333,85.0,67.0,0.0,2.0833333333333335,0.0,50.0,1.1666666666666667,24.0,11.0,0.041666666666666664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68.19393109742185,68.03011635865846
PRV51072,0,12.0,83748.0,6979.0,5068.0,118.0,6.0,4.25,4.0,11748.0,1.6666666666666667,12.0,10.0,4.25,4.0,51.0,200.0,47600.0,238.0,70.0,605.0,0.0,1.375,0.0,430.0,1.365,150.0,42.0,0.175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.62089322381931,71.53045859000684
PRV51074,0,5.0,36340.0,7268.0,4068.0,46.0,1.0,2.6,3.0,5340.0,1.6,5.0,4.0,2.6,3.0,13.0,34.0,10250.0,301.47058823529414,100.0,108.0,0.0,1.7941176470588236,0.0,80.0,1.5,34.0,11.0,0.1282051282051282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.7279875041682,75.30458590006845
PRV51075,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8620.0,507.05882352941177,100.0,42.0,0.0,1.1764705882352942,0.0,70.0,1.0588235294117647,13.0,4.0,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.81851208339914,78.7378507871321
PRV51076,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,10280.0,354.48275862068965,50.0,78.0,0.0,1.1724137931034482,0.0,50.0,1.2758620689655173,27.0,8.0,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.30022561918524,75.97535934291581
PRV51077,1,16.0,215020.0,13438.75,7068.0,143.0,8.0,5.9375,4.0,16020.0,1.4375,13.0,1.0,5.9375,4.0,95.0,17.0,5550.0,326.47058823529414,70.0,43.0,0.0,2.5294117647058822,0.0,200.0,1.3529411764705883,17.0,10.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.93205566963267,71.927446954141
PRV51078,0,9.0,84544.0,9393.777777777777,10068.0,89.0,8.0,6.666666666666667,5.0,8544.0,1.7777777777777777,9.0,3.0,6.666666666666667,5.0,60.0,14.0,2370.0,169.28571428571428,65.0,37.0,0.0,0.07142857142857142,0.0,100.0,1.1428571428571428,14.0,10.0,0.17391304347826086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.397762104574,69.16358658453115
PRV51081,0,6.0,85408.0,14234.666666666666,9068.0,56.0,9.0,6.0,6.0,6408.0,1.3333333333333333,6.0,1.0,6.0,6.0,36.0,194.0,45840.0,236.28865979381445,80.0,595.0,0.0,1.4845360824742269,0.0,760.0,1.056701030927835,125.0,2.0,0.22137404580152673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.63586062040534,72.38603696098562
PRV51082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,5540.0,162.94117647058823,80.0,94.0,0.0,1.1764705882352942,0.0,70.0,1.088235294117647,31.0,9.0,0.22580645161290322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.868406526683,70.1245722108145
